2018-03-26,23,12TH,MONT,3
2018-03-27,10,GLEN,FTVL,2
2018-03-27,17,ASHB,FRMT,4
2018-03-28,0,CIVC,16TH,3
2018-03-28,11,ASHB,WARM,2
2018-03-28,17,ORIN,SANL,2
2018-03-29,5,19TH,FTVL,1
2018-03-29,11,POWL,OAKL,15
2018-03-29,18,24TH,MLBR,14
2018-03-30,5,NBRK,DUBL,1
2018-03-30,12,DUBL,NCON,1
2018-03-30,18,MONT,DELN,148
2018-03-31,8,24TH,ASHB,3
2018-03-31,15,DBRK,FRMT,5
2018-03-31,22,ROCK,PLZA,1
2018-04-01,14,FRMT,DUBL,1
2018-04-01,22,CIVC,MLBR,4
2018-04-02,10,CAST,SFIA,2
2018-04-02,16,UCTY,SHAY,11
2018-04-03,0,COLS,LAKE,1
2018-04-03,11,CIVC,POWL,16
2018-04-03,17,RICH,MONT,6
2018-04-04,5,GLEN,MCAR,2
2018-04-04,12,BAYF,LAKE,15
2018-04-04,18,MCAR,DBRK,29
2018-04-05,6,NCON,COLS,2
2018-04-05,13,19TH,WDUB,6
2018-04-05,19,CONC,19TH,2
2018-04-06,7,NCON,CAST,1
2018-04-06,14,DALY,COLS,3
2018-04-06,20,LAKE,COLS,5
2018-04-07,10,LAKE,PLZA,1
2018-04-07,17,RICH,GLEN,2
2018-04-08,9,FTVL,POWL,44
2018-04-08,16,UCTY,UCTY,1
2018-04-09,5,PLZA,WCRK,1
2018-04-09,12,COLS,OAKL,3
2018-04-09,18,OAKL,19TH,5
2018-04-10,6,SBRN,ASHB,1
2018-04-10,13,DALY,CONC,7
2018-04-10,19,HAYW,WCRK,2
2018-04-11,7,MONT,EMBR,3
2018-04-11,14,BAYF,HAYW,2
2018-04-11,20,DALY,LAKE,4
2018-04-12,8,EMBR,FTVL,11
2018-04-12,15,16TH,SFIA,16
2018-04-12,21,ASHB,OAKL,1
2018-04-13,8,WARM,CIVC,43
2018-04-13,15,LAKE,BALB,2
2018-04-13,21,MONT,DBRK,39
2018-04-14,11,CIVC,DUBL,8
2018-04-14,18,ASHB,CONC,1
2018-04-15,9,PLZA,DBRK,18
2018-04-15,17,DBRK,COLS,3
2018-04-16,6,GLEN,DBRK,2
2018-04-16,13,12TH,ASHB,22
2018-04-16,19,DALY,COLM,1
2018-04-17,7,HAYW,FTVL,14
2018-04-17,13,WDUB,DALY,3
2018-04-17,20,12TH,PHIL,12
2018-04-18,7,WDUB,LAKE,9
2018-04-18,14,MCAR,BAYF,7
2018-04-18,20,MONT,RICH,17
2018-04-19,8,LAFY,MLBR,3
2018-04-19,15,BALB,ORIN,1
2018-04-19,21,COLM,NBRK,1
2018-04-20,9,12TH,COLM,2
2018-04-20,15,NBRK,NCON,2
2018-04-20,21,PITT,16TH,1
2018-04-21,11,COLS,MCAR,4
2018-04-21,18,BAYF,POWL,12
2018-04-22,9,PHIL,16TH,2
2018-04-22,17,12TH,SBRN,1
2018-04-23,5,SANL,CIVC,18
2018-04-23,12,DBRK,DUBL,1
2018-04-23,18,PHIL,POWL,12
2018-04-24,6,SFIA,COLM,1
2018-04-24,13,DALY,SBRN,10
2018-04-24,19,FTVL,WDUB,1
2018-04-25,7,GLEN,UCTY,2
2018-04-25,14,12TH,19TH,3
2018-04-25,20,16TH,PLZA,9
2018-04-26,8,CAST,POWL,47
2018-04-26,14,SANL,ASHB,2
2018-04-26,20,SHAY,24TH,1
2018-04-27,8,PLZA,MONT,133
2018-04-27,15,DUBL,12TH,1
2018-04-27,21,EMBR,WARM,7
2018-04-28,11,BALB,16TH,28
2018-04-28,18,24TH,ROCK,4
2018-04-29,9,PHIL,FRMT,1
2018-04-29,17,ASHB,FTVL,5
2018-04-30,5,WDUB,19TH,4
2018-04-30,12,FRMT,SFIA,2
2018-04-30,18,POWL,24TH,277
2018-05-01,6,SSAN,WCRK,1
2018-05-01,13,DBRK,COLS,4
2018-05-01,19,GLEN,MLBR,5
2018-05-02,7,HAYW,EMBR,118
2018-05-02,14,12TH,COLM,2
2018-05-02,20,19TH,SBRN,2
2018-05-03,8,19TH,WARM,6
2018-05-03,14,OAKL,DELN,2
2018-05-03,20,OAKL,NBRK,4
2018-05-04,8,HAYW,WOAK,7
2018-05-04,15,16TH,DBRK,7
2018-05-04,21,12TH,FTVL,4
2018-05-05,10,OAKL,SANL,1
2018-05-05,17,MONT,HAYW,10
2018-05-06,9,19TH,MCAR,2
2018-05-06,16,MCAR,12TH,6
2018-05-07,5,BALB,WARM,1
2018-05-07,11,SHAY,PITT,1
2018-05-07,18,DUBL,FRMT,11
2018-05-08,6,FTVL,EMBR,133
2018-05-08,12,SSAN,MONT,13
2018-05-08,19,19TH,SSAN,3
2018-05-09,7,12TH,SFIA,11
2018-05-09,13,EMBR,16TH,26
2018-05-09,19,FTVL,FTVL,1
2018-05-10,7,DELN,COLM,2
2018-05-10,13,PLZA,DALY,9
2018-05-10,19,POWL,SSAN,67
2018-05-11,7,PITT,MLBR,11
2018-05-11,14,BALB,ROCK,5
2018-05-11,20,19TH,SFIA,6
2018-05-12,9,MONT,GLEN,3
2018-05-12,16,LAFY,HAYW,1
2018-05-13,0,19TH,MCAR,2
2018-05-13,15,12TH,DALY,2
2018-05-13,22,PITT,RICH,2
2018-05-14,10,DALY,MCAR,1
2018-05-14,16,WOAK,CAST,2
2018-05-15,0,CIVC,BALB,11
2018-05-15,11,19TH,SANL,4
2018-05-15,17,NBRK,COLS,3
2018-05-16,5,ASHB,12TH,4
2018-05-16,11,RICH,RICH,2
2018-05-16,18,CAST,19TH,2
2018-05-17,6,12TH,GLEN,5
2018-05-17,12,EMBR,EMBR,4
2018-05-17,18,OAKL,DELN,1
